Datum,Energietraeger,Produktion_GWh
2015-04-04,Thermische,6.4
2015-04-04,Wind,0.3
2015-04-05,Flusskraft,45.2
2015-04-05,Kernkraft,42.0
2015-04-05,Photovoltaik,4.2
2015-04-05,Speicherkraft,15.8
2015-04-05,Thermische,6.4
2015-04-05,Wind,0.9
2015-04-06,Flusskraft,41.0
2015-04-06,Kernkraft,42.0
2015-04-06,Photovoltaik,5.0
2015-04-06,Speicherkraft,22.3
2015-04-06,Thermische,6.4
2015-04-06,Wind,0.6
2015-04-07,Flusskraft,41.4
2015-04-07,Kernkraft,50.2
2015-04-07,Photovoltaik,6.1
2015-04-07,Speicherkraft,45.5
2015-04-07,Thermische,6.4
2015-04-07,Wind,0.5
2015-04-08,Flusskraft,41.3
2015-04-08,Kernkraft,65.5
2015-04-08,Photovoltaik,5.9
2015-04-08,Speicherkraft,48.7
2015-04-08,Thermische,6.4
2015-04-08,Wind,0.2
2015-04-09,Flusskraft,40.6
2015-04-09,Kernkraft,70.7
2015-04-09,Photovoltaik,5.8
2015-04-09,Speicherkraft,46.3
2015-04-09,Thermische,6.4
2015-04-09,Wind,0.1
2015-04-10,Flusskraft,41.2
2015-04-10,Kernkraft,70.7
2015-04-10,Photovoltaik,4.8
2015-04-10,Speicherkraft,40.6
2015-04-10,Thermische,6.4
2015-04-10,Wind,0.2
2015-04-11,Flusskraft,40.4
2015-04-11,Kernkraft,69.9
2015-04-11,Photovoltaik,3.9
2015-04-11,Speicherkraft,26.8
2015-04-11,Thermische,6.4
2015-04-11,Wind,0.3
2015-04-12,Flusskraft,39.6
2015-04-12,Kernkraft,70.8
2015-04-12,Photovoltaik,4.7
2015-04-12,Speicherkraft,18.4
2015-04-12,Thermische,6.4
2015-04-12,Wind,0.1
2015-04-13,Flusskraft,43.2
2015-04-13,Kernkraft,70.6
2015-04-13,Photovoltaik,5.4
2015-04-13,Speicherkraft,41.3
2015-04-13,Thermische,6.4
2015-04-13,Wind,0.2
2015-04-14,Flusskraft,43.3
2015-04-14,Kernkraft,70.6
2015-04-14,Photovoltaik,4.7
2015-04-14,Speicherkraft,42.5
2015-04-14,Thermische,6.4
2015-04-14,Wind,0.1
2015-04-15,Flusskraft,42.8
2015-04-15,Kernkraft,70.5
2015-04-15,Photovoltaik,5.7
2015-04-15,Speicherkraft,47.1
2015-04-15,Thermische,6.4
2015-04-15,Wind,0.1
2015-04-16,Flusskraft,45.8
2015-04-16,Kernkraft,70.5
2015-04-16,Photovoltaik,3.3
2015-04-16,Speicherkraft,56.7
2015-04-16,Thermische,6.4
2015-04-16,Wind,0.2
2015-04-17,Flusskraft,46.6
2015-04-17,Kernkraft,70.5
2015-04-17,Photovoltaik,1.7
2015-04-17,Speicherkraft,55.5
2015-04-17,Thermische,6.4
2015-04-17,Wind,0.3
2015-04-18,Flusskraft,48.8
2015-04-18,Kernkraft,70.7
2015-04-18,Photovoltaik,4.4
2015-04-18,Speicherkraft,25.8
2015-04-18,Thermische,6.4
2015-04-18,Wind,0.6
2015-04-19,Flusskraft,45.8
2015-04-19,Kernkraft,70.9
2015-04-19,Photovoltaik,5.6
2015-04-19,Speicherkraft,24.7
2015-04-19,Thermische,6.4
2015-04-19,Wind,0.3
2015-04-20,Flusskraft,46.1
2015-04-20,Kernkraft,70.7
2015-04-20,Photovoltaik,6.0
2015-04-20,Speicherkraft,59.1
2015-04-20,Thermische,6.4
2015-04-20,Wind,0.4
2015-04-21,Flusskraft,45.6
2015-04-21,Kernkraft,70.6
2015-04-21,Photovoltaik,6.5
2015-04-21,Speicherkraft,45.3
2015-04-21,Thermische,6.4
2015-04-21,Wind,0.4
2015-04-22,Flusskraft,47.0
2015-04-22,Kernkraft,70.4
2015-04-22,Photovoltaik,6.3
2015-04-22,Speicherkraft,45.6
2015-04-22,Thermische,6.4
2015-04-22,Wind,0.2
2015-04-23,Flusskraft,50.0
2015-04-23,Kernkraft,70.6
2015-04-23,Photovoltaik,6.0
2015-04-23,Speicherkraft,45.4
2015-04-23,Thermische,6.4
2015-04-23,Wind,0.3
2015-04-24,Flusskraft,51.0
2015-04-24,Kernkraft,70.5
2015-04-24,Photovoltaik,6.3
2015-04-24,Speicherkraft,50.4
2015-04-24,Thermische,6.4
2015-04-24,Wind,0.1
2015-04-25,Flusskraft,51.9
2015-04-25,Kernkraft,70.6
2015-04-25,Photovoltaik,2.5
2015-04-25,Speicherkraft,30.2
2015-04-25,Thermische,6.4
2015-04-25,Wind,0.4
2015-04-26,Flusskraft,55.1
2015-04-26,Kernkraft,70.4
2015-04-26,Photovoltaik,3.8
2015-04-26,Speicherkraft,26.9
2015-04-26,Thermische,6.4
2015-04-26,Wind,0.2
2015-04-27,Flusskraft,67.1
2015-04-27,Kernkraft,70.4
2015-04-27,Photovoltaik,2.9
2015-04-27,Speicherkraft,46.7
2015-04-27,Thermische,6.4
2015-04-27,Wind,0.3
2015-04-28,Flusskraft,66.6
2015-04-28,Kernkraft,70.5
2015-04-28,Photovoltaik,2.4
2015-04-28,Speicherkraft,53.6
2015-04-28,Thermische,6.4
2015-04-28,Wind,0.4
2015-04-29,Flusskraft,54.7
2015-04-29,Kernkraft,70.5
2015-04-29,Photovoltaik,4.6
2015-04-29,Speicherkraft,69.6
2015-04-29,Thermische,6.4
2015-04-29,Wind,0.2
2015-04-30,Flusskraft,58.2
2015-04-30,Kernkraft,70.3
2015-04-30,Photovoltaik,4.7
2015-04-30,Speicherkraft,64.6
2015-04-30,Thermische,6.4
2015-04-30,Wind,0.3
2015-05-01,Flusskraft,63.4
2015-05-01,Kernkraft,70.3
2015-05-01,Photovoltaik,0.7
2015-05-01,Speicherkraft,22.2
2015-05-01,Thermische,6.8
2015-05-01,Wind,0.6
2015-05-02,Flusskraft,74.1
2015-05-02,Kernkraft,70.2
2015-05-02,Photovoltaik,2.9
2015-05-02,Speicherkraft,26.6
2015-05-02,Thermische,6.8
2015-05-02,Wind,0.3
2015-05-03,Flusskraft,82.7
2015-05-03,Kernkraft,70.1
2015-05-03,Photovoltaik,1.5
2015-05-03,Speicherkraft,21.6
2015-05-03,Thermische,6.8
2015-05-03,Wind,0.5
2015-05-04,Flusskraft,84.8
2015-05-04,Kernkraft,69.9
2015-05-04,Photovoltaik,2.4
2015-05-04,Speicherkraft,45.8
2015-05-04,Thermische,6.8
2015-05-04,Wind,0.2
2015-05-05,Flusskraft,82.2
2015-05-05,Kernkraft,69.5
2015-05-05,Photovoltaik,3.1
2015-05-05,Speicherkraft,47.0
2015-05-05,Thermische,6.8
2015-05-05,Wind,0.5
2015-05-06,Flusskraft,93.7
2015-05-06,Kernkraft,70.1
2015-05-06,Photovoltaik,4.3
2015-05-06,Speicherkraft,54.0
2015-05-06,Thermische,6.8
2015-05-06,Wind,0.3
